,Name,Latitude,Longitude
0,Shapoorji Bus Stand,22.569006,88.516008
1,University of Engineering & Management Kolkata (UEM),22.560285,88.491644
2,Unitech Newtown,22.574734,88.479853
3,Ecospace Business Park,22.583712,88.489856
4,Eco Park,22.6031,88.4666
5,City Centre New Town,22.5939,88.4742
6,Chinar Park,22.625,88.4386
7,Kaikhali,22.626817,88.433143
8,Kolkata Airport,22.626817,88.433143
9,Durga Nagar,22.652563,88.408423
10,Pramodnagar,22.649671,88.394562
11,Dunlop Bridge,22.653771,88.377481
12,Dakshineswar,22.652998,88.359629
