Model,Metric,Route,0-10,10-25,25-45,45+,Overall
HYB(1),MAE,Route 1,1.4,4.1,6.2,7.4,4.3
HYB(1),MAE,Route 2,1.6,5.0,8.0,9.1,5.4
HYB(1),MAE,Route 3,1.5,4.6,7.2,8.4,5.0
HYB(1),MAPE,Route 1,20.5,24.2,18.8,10.9,13.2
HYB(1),MAPE,Route 2,24.4,31.3,22.4,13.0,15.9
HYB(1),MAPE,Route 3,22.9,29.0,20.5,12.3,14.7
HYB(1),RMSE,Route 1,1.8,5.3,7.6,8.5,5.6
HYB(1),RMSE,Route 2,2.2,6.5,9.5,10.6,7.1
HYB(1),RMSE,Route 3,2.0,6.0,8.7,9.7,6.1

HYB(2),MAE,Route 1,1.3,4.3,6.5,7.3,4.5
HYB(2),MAE,Route 2,1.7,5.3,8.1,9.0,5.7
HYB(2),MAE,Route 3,1.6,4.8,7.4,8.3,4.8
HYB(2),MAPE,Route 1,19.4,23.5,17.8,11.2,12.3
HYB(2),MAPE,Route 2,23.1,28.0,21.2,13.3,14.9
HYB(2),MAPE,Route 3,21.7,25.9,19.6,12.6,13.8
HYB(2),RMSE,Route 1,1.7,5.0,7.3,8.4,5.4
HYB(2),RMSE,Route 2,2.0,6.1,9.1,10.7,6.9
HYB(2),RMSE,Route 3,2.1,5.7,8.4,9.8,6.4

HYB(3),MAE,Route 1,1.6,3.8,6.4,7.7,4.6
HYB(3),MAE,Route 2,1.9,4.7,8.0,9.3,5.8
HYB(3),MAE,Route 3,1.8,4.6,7.3,8.7,5.2
HYB(3),MAPE,Route 1,23.0,21.5,18.5,11.7,14.0
HYB(3),MAPE,Route 2,27.4,25.5,21.9,13.9,16.4
HYB(3),MAPE,Route 3,25.8,23.9,20.0,13.2,15.4
HYB(3),RMSE,Route 1,2.0,4.7,7.5,8.9,5.8
HYB(3),RMSE,Route 2,2.4,5.7,9.2,11.1,7.3
HYB(3),RMSE,Route 3,2.2,5.4,8.6,10.1,6.6

HYB(4),MAE,Route 1,1.8,3.9,6.9,7.8,5.3
HYB(4),MAE,Route 2,2.1,4.7,8.6,9.4,6.5
HYB(4),MAE,Route 3,2.0,4.5,7.8,8.9,5.9
HYB(4),MAPE,Route 1,24.5,21.8,19.3,12.5,15.1
HYB(4),MAPE,Route 2,28.9,25.8,22.8,14.6,17.7
HYB(4),MAPE,Route 3,27.4,24.4,20.8,13.9,16.6
HYB(4),RMSE,Route 1,2.2,4.8,8.1,9.0,6.6
HYB(4),RMSE,Route 2,2.6,5.9,9.9,11.3,8.1
HYB(4),RMSE,Route 3,2.5,5.6,9.1,10.3,7.2

HYB(5),MAE,Route 1,1.5,3.9,6.2,7.6,4.8
HYB(5),MAE,Route 2,1.8,4.8,8.0,9.2,6.1
HYB(5),MAE,Route 3,1.7,4.6,7.2,8.6,5.4
HYB(5),MAPE,Route 1,22.8,22.0,17.9,12.0,13.7
HYB(5),MAPE,Route 2,26.9,26.9,21.2,14.3,16.1
HYB(5),MAPE,Route 3,24.6,25.4,19.9,13.6,15.0
HYB(5),RMSE,Route 1,1.9,4.9,7.4,8.8,6.0
HYB(5),RMSE,Route 2,2.3,6.0,9.1,11.0,7.4
HYB(5),RMSE,Route 3,2.1,5.7,8.5,10.0,6.7
